Masina,Culoare,Anul productiei,Numar locuri,Combustibil,Cutie de viteze,Tip Caroserie,Capacitate cilindrica,Putere,Transmisie,Consum Urban,Consum Extraurban,Pret
Mercedes-Benz C,Alte culori,2022,5.0,Benzina,Automata,Sedan,1991.0,258.0,Spate,7.9,4.8,38949
Volvo XC 90,Maro,2020,5.0,Diesel,Automata,SUV,1969.0,235.0,4x4,6.4,5.1,47588
BMW Seria 5,Negru,2012,5.0,Diesel,Manuala,Sedan,1995.0,184.0,Spate,6.2,4.5,8999
Hyundai Tucson,Gri,2021,5.0,Hibrid,Automata,SUV,1598.0,180.0,4x4,6.6,4.7,32118
Ford Edge,Negru,2019,5.0,Diesel,Automata,SUV,1996.0,238.0,4x4,8.5,5.7,22899
Ford Transit Custom,Alb,2019,3.0,Diesel,Manuala,Monovolum,1996.0,130.0,Fata,5.7,5.3,16899
Volvo XC 60,Negru,2012,5.0,Diesel,Automata,SUV,2400.0,215.0,4x4,8.9,5.6,12489
BMW X4,Negru,2015,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,6.2,5.2,22000
Renault Megane,Alb,2018,5.0,Diesel,Automata,Sedan,1461.0,110.0,Fata,4.0,3.5,10490
BMW X5,Negru,2021,5.0,Hibrid,Automata,SUV,2998.0,286.0,4x4,8.9,5.6,50989
Peugeot 308,Gri,2017,5.0,Benzina,Automata,Sedan,1199.0,130.0,Fata,5.6,4.3,9990
Volkswagen Passat,Negru,2016,5.0,Diesel,Manuala,Sedan,1598.0,120.0,Fata,4.7,3.7,10949
Renault Kadjar,Negru,2019,5.0,Diesel,Manuala,SUV,1461.0,116.0,Fata,5.0,4.0,13982
Volkswagen Passat Alltrack,Negru,2019,5.0,Diesel,Automata,Sedan,1968.0,190.0,4x4,6.0,4.6,18999
Renault Talisman,Negru,2017,5.0,Diesel,Automata,Sedan,1598.0,160.0,Fata,5.1,4.3,16499
Volkswagen Caddy,Alb,2018,2.0,Diesel,Manuala,Monovolum,1968.0,75.0,Fata,5.3,4.1,11989
Mercedes-Benz C,Negru,2018,5.0,Diesel,Automata,Sedan,1950.0,194.0,4x4,6.2,4.2,28349
Nissan Juke,Negru,2015,5.0,Diesel,Manuala,SUV,1461.0,110.0,Fata,6.1,4.5,8490
BMW Seria 5,Negru,2020,5.0,Diesel,Automata,Sedan,1995.0,190.0,Spate,4.9,3.9,27497
Renault Arkana,Gri,2022,5.0,Benzina,Automata,SUV,1332.0,140.0,Fata,6.5,4.7,16998
Ford Transit Custom,Albastru,2021,9.0,Diesel,Manuala,Monovolum,1995.0,130.0,Fata,6.8,5.7,29985
Renault Kadjar,Alb,2018,5.0,Diesel,Automata,SUV,1461.0,110.0,Fata,3.8,3.8,14155
Ford Kuga,Gri,2018,5.0,Benzina,Manuala,SUV,1498.0,149.0,Fata,7.8,5.3,12650
Volkswagen ARTEON,Gri,2019,5.0,Diesel,Automata,Sedan,1968.0,240.0,4x4,6.8,5.3,23490
Nissan Qashqai+2,Alte culori,2012,7.0,Diesel,Automata,SUV,1995.0,150.0,4x4,9.3,5.9,8900
Mercedes-Benz GLC,Gri,2019,5.0,Diesel,Automata,SUV,1950.0,194.0,4x4,5.7,4.9,33900
Volkswagen Caddy,Gri,2019,4.0,Diesel,Automata,Sedan,1968.0,102.0,Fata,5.9,4.7,17498
Skoda Superb,Negru,2016,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,4.9,3.4,13990
Mercedes-Benz A,Gri,2016,5.0,Diesel,Automata,Compact,2143.0,136.0,4x4,5.5,4.1,11990
Audi A4,Alb,2021,5.0,Diesel,Automata,Sedan,1968.0,136.0,Fata,5.0,3.6,17950
Volkswagen Passat,Alb,2024,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,4.9,3.4,44899
Volvo S90,Albastru,2021,5.0,Benzina,Automata,Sedan,1969.0,197.0,Fata,5.5,4.2,31427
Mazda 3,Rosu,2009,5.0,Benzina,Manuala,Compact,1598.0,105.0,Fata,8.4,5.2,5499
