Masina,Culoare,Anul productiei,Numar locuri,Combustibil,Cutie de viteze,Tip Caroserie,Capacitate cilindrica,Putere,Transmisie,Consum Urban,Consum Extraurban,Pret
BMW Seria 4,Gri,2015,5.0,Diesel,Automata,Sport,2993.0,313.0,4x4,7.5,5.4,20990
Seat Ateca,Gri,2024,5.0,Benzina,Manuala,SUV,1498.0,150.0,Fata,6.3,5.0,28900
Volkswagen Golf,Alb,2018,5.0,Diesel,Manuala,Compact,1598.0,115.0,Fata,4.6,3.8,12200
BMW X1,Negru,2010,5.0,Diesel,Automata,SUV,1995.0,177.0,4x4,7.7,5.4,8990
Skoda Superb,Gri,2021,5.0,Benzina,Automata,Sedan,1498.0,150.0,Fata,5.7,4.3,18449
Renault Megane,Gri,2019,5.0,Benzina,Manuala,Compact,1332.0,160.0,Fata,6.9,4.6,14489
BMW X3,Albastru,2021,5.0,Hibrid,Automata,SUV,1998.0,184.0,4x4,6.4,5.2,27999
Skoda Octavia,Albastru,2020,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,4.4,3.2,22253
Renault Talisman,Maro,2017,5.0,Diesel,Automata,Sedan,1598.0,130.0,Fata,4.9,4.0,12500
Volvo XC 60,Alte culori,2019,5.0,Hibrid,Automata,SUV,1969.0,303.0,4x4,9.7,6.6,28980
Renault Kangoo,Alb,2021,3.0,Diesel,Manuala,Monovolum,1461.0,80.0,Fata,5.1,4.3,9489
Volvo XC 90,Alte culori,2017,7.0,Diesel,Automata,SUV,1969.0,235.0,4x4,6.7,5.6,29890
Dacia Duster,Maro,2011,5.0,Diesel,Manuala,SUV,1461.0,110.0,4x4,6.5,5.3,7300
BMW X5,Albastru,2019,5.0,Benzina,Automata,SUV,2998.0,340.0,4x4,10.4,7.4,37990
Volvo XC 60,Gri,2019,5.0,Benzina,Automata,SUV,1969.0,250.0,4x4,8.7,6.0,27000
Skoda Octavia,Alb,2020,5.0,Diesel,Automata,Sedan,1968.0,149.0,Fata,5.2,4.1,9800
Dacia Logan,Albastru,2020,5.0,Diesel,Manuala,Sedan,1461.0,75.0,Fata,3.7,3.6,8490
Dacia Sandero Stepway,Argint,2018,5.0,Benzina,Automata,Compact,898.0,90.0,Fata,6.1,5.5,7990
Volkswagen T-ROC,Gri,2020,5.0,Diesel,Automata,SUV,1968.0,150.0,4x4,6.6,4.6,19750
Volvo XC 40,Negru,2018,5.0,Diesel,Automata,SUV,1969.0,190.0,4x4,5.7,4.6,24500
Volkswagen Passat,Maro,2019,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,5.0,3.9,14690
Volkswagen Polo,Alb,2020,5.0,Benzina,Manuala,Compact,999.0,95.0,Fata,5.5,3.8,9990
Skoda Superb,Albastru,2021,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,4.3,3.5,24550
Volkswagen Touran,Gri,2004,6.0,Diesel,Manuala,Monovolum,1968.0,140.0,Fata,7.6,5.2,3650
Opel Grandland X,Alb,2019,5.0,Benzina,Automata,SUV,1199.0,130.0,Fata,6.4,4.9,15449
Kia Sportage,Maro,2018,5.0,Benzina,Automata,SUV,1591.0,177.0,4x4,8.4,6.1,20950
Skoda RAPID,Alb,2018,5.0,Diesel,Manuala,Sedan,1598.0,115.0,Fata,5.5,4.2,10949
Dacia Logan,Albastru,2019,5.0,Benzina,Manuala,Sedan,998.0,73.0,Fata,6.6,4.8,7989
Volkswagen Taigo,Gri,2023,5.0,Benzina,Automata,SUV,999.0,110.0,Fata,6.0,4.2,19989
Renault Kadjar,Albastru,2018,5.0,Diesel,Automata,SUV,1461.0,110.0,Fata,4.0,3.7,16949
Skoda Octavia,Negru,2018,5.0,Benzina,Automata,Sedan,1984.0,230.0,Fata,4.1,3.7,22950
Volkswagen Golf,Albastru,2019,5.0,Benzina,Manuala,Compact,999.0,115.0,Fata,5.5,3.9,12449
Volkswagen Tiguan,Albastru,2023,5.0,Benzina,Automata,SUV,1498.0,150.0,Fata,5.3,4.4,27989
Ford Mondeo,Negru,2019,5.0,Hibrid,Automata,Sedan,1999.0,140.0,Fata,2.8,5.0,15449
Seat Ateca,Alb,2019,5.0,Benzina,Manuala,SUV,1498.0,150.0,Fata,6.4,4.9,16449
Peugeot 508,Negru,2019,5.0,Diesel,Automata,Sedan,1499.0,130.0,Fata,4.4,3.5,15950
BMW X5,Gri,2021,5.0,Hibrid,Automata,SUV,2998.0,286.0,4x4,6.8,5.6,48949
Mercedes-Benz E,Negru,2017,5.0,Diesel,Automata,Sedan,1950.0,150.0,Spate,5.2,4.0,15550
Volkswagen Golf,Albastru,2019,5.0,Benzina,Manuala,Compact,999.0,115.0,Fata,5.5,3.9,12749
Ford Kuga,Negru,2015,5.0,Diesel,Automata,SUV,1997.0,180.0,4x4,6.1,5.0,12850
Suzuki SX4 S-Cross,Gri,2019,5.0,Benzina,Automata,SUV,1373.0,140.0,4x4,6.7,5.2,18999
Audi Q7,Negru,2020,5.0,Diesel,Automata,SUV,2967.0,286.0,4x4,7.2,6.3,58500
Renault Clio,Alb,2019,5.0,Diesel,Manuala,Compact,1461.0,90.0,Fata,4.3,3.5,8450
BMW Seria 7,Gri,2021,5.0,Diesel,Automata,Sedan,2993.0,286.0,4x4,5.9,4.0,53900
Renault Clio,Alb,2019,5.0,Diesel,Manuala,Compact,1461.0,90.0,Fata,4.3,3.5,9450
Jaguar F-Pace,Negru,2021,5.0,Diesel,Automata,SUV,1997.0,163.0,4x4,5.7,4.9,37990
Renault Clio,Alb,2019,5.0,Diesel,Manuala,Compact,1461.0,90.0,Fata,4.3,3.5,9250
Volvo XC 40,Gri,2019,5.0,Diesel,Automata,SUV,1969.0,150.0,4x4,6.3,4.6,29450
Hyundai Tucson,Gri,2020,5.0,Diesel,Automata,SUV,1995.0,185.0,4x4,5.3,5.2,21400
Peugeot 5008,Alte culori,2022,7.0,Diesel,Automata,SUV,1499.0,130.0,Fata,4.6,4.0,21700
Audi A6,Argint,2016,5.0,Diesel,Automata,Sedan,1968.0,190.0,Fata,5.3,4.1,11980
Mercedes-Benz GLE,Negru,2023,5.0,Diesel,Automata,SUV,2925.0,330.0,4x4,8.4,5.9,85900
BMW X4,Negru,2020,5.0,Benzina,Automata,SUV,1998.0,252.0,4x4,5.4,4.4,39984
Volvo XC 40,Gri,2018,5.0,Diesel,Automata,SUV,1969.0,190.0,4x4,5.7,4.6,23950
Mercedes-Benz C,Gri,2023,5.0,Benzina,Automata,Sedan,1999.0,258.0,4x4,10.0,5.3,65690
Jaguar F-Pace,Gri,2019,5.0,Diesel,Automata,SUV,1999.0,180.0,4x4,6.6,5.2,28798
Hyundai Tucson,Gri,2021,5.0,Hibrid,Automata,SUV,1598.0,180.0,4x4,6.6,4.7,29393
Volkswagen Passat,Gri,2019,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,5.1,3.9,16303
Mercedes-Benz E,Alb,2020,5.0,Diesel,Automata,Sedan,1950.0,194.0,Spate,5.7,4.1,31773
Dacia Duster,Gri,2019,5.0,Diesel,Manuala,SUV,1461.0,115.0,4x4,4.9,4.5,13566
Opel Vivaro,Albastru,2018,9.0,Diesel,Manuala,Sedan,1598.0,125.0,Fata,6.4,5.3,18683
BMW X6,Negru,2018,5.0,Diesel,Automata,SUV,2993.0,265.0,4x4,6.7,5.7,38413
Skoda Superb,Gri,2019,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,4.3,3.5,23899
Toyota Corolla,Argint,2020,5.0,Hibrid,Automata,Compact,1798.0,98.0,Fata,3.3,3.5,18450
Volkswagen ARTEON,Alte culori,2018,5.0,Diesel,Automata,Sedan,1968.0,190.0,4x4,6.0,4.6,23490
BMW Seria 4,Alb,2017,5.0,Diesel,Automata,Sedan,1995.0,190.0,4x4,5.9,4.5,20990
Audi Q7,Negru,2018,5.0,Diesel,Automata,SUV,2967.0,272.0,4x4,6.3,5.4,51900
Volkswagen Golf,Alb,2019,5.0,Diesel,Manuala,Compact,1598.0,115.0,Fata,5.1,3.9,10489
Mercedes-Benz C,Negru,2019,5.0,Diesel,Automata,Sedan,1950.0,194.0,4x4,5.2,4.0,28800
Renault Clio,Albastru,2013,5.0,Diesel,Manuala,Compact,1461.0,90.0,Fata,4.3,3.2,6500
Hyundai Tucson,Albastru,2021,5.0,Hibrid,Automata,SUV,1598.0,230.0,Fata,4.8,5.9,26990
Mercedes-Benz GLE,Alb,2015,5.0,Diesel,Automata,SUV,2987.0,258.0,4x4,8.6,6.9,26700
Renault Trafic,Albastru,2016,3.0,Diesel,Manuala,Monovolum,1598.0,120.0,Fata,6.4,5.1,10990
Renault Kadjar,Alb,2020,5.0,Benzina,Automata,SUV,1332.0,159.0,Fata,7.1,5.3,17989
BMW X5,Albastru,2015,5.0,Diesel,Automata,SUV,1995.0,218.0,4x4,6.8,5.4,20750
Skoda Octavia,Alte culori,2010,5.0,Diesel,Manuala,Sedan,1598.0,105.0,Fata,5.7,3.9,4680
Volkswagen Phaeton,Negru,2011,5.0,Diesel,Automata,Sedan,2967.0,240.0,4x4,11.6,6.7,10499
Volkswagen Golf,Gri,2019,5.0,Benzina,Manuala,Compact,999.0,115.0,Fata,5.4,4.4,11950
Opel Corsa,Albastru,2013,5.0,Diesel,Manuala,Compact,1248.0,75.0,Fata,5.8,3.9,4350
BMW X3,Negru,2020,5.0,Benzina,Automata,SUV,1998.0,184.0,4x4,5.4,4.4,31951
Opel Astra,Negru,2018,5.0,Diesel,Manuala,Sedan,1598.0,136.0,Fata,4.4,3.5,9749
Audi A6 Allroad,Negru,2022,5.0,Benzina,Automata,Compact,2995.0,340.0,4x4,10.3,6.1,42000
Mercedes-Benz E,Gri,2018,5.0,Diesel,Automata,Sedan,1950.0,194.0,Spate,5.7,4.4,20500
Opel Mokka,Alb,2015,5.0,Benzina,Manuala,SUV,1364.0,140.0,4x4,8.2,5.5,8000
Peugeot 508,Rosu,2019,5.0,Diesel,Automata,Sedan,1997.0,180.0,Fata,5.2,4.2,16490
Peugeot 3008,Alte culori,2017,5.0,Diesel,Automata,SUV,1997.0,180.0,Fata,5.3,4.5,16900
Ford Puma,Gri,2024,5.0,Hibrid,Manuala,SUV,999.0,125.0,Fata,4.9,3.9,23489
Renault Espace,Gri,2017,5.0,Diesel,Automata,Monovolum,1598.0,160.0,Fata,5.1,4.4,17250
Mercedes-Benz Vito,Alb,2024,6.0,Diesel,Automata,Monovolum,1950.0,136.0,Spate,6.8,5.7,52675
Mercedes-Benz GLA,Negru,2016,5.0,Diesel,Automata,SUV,2143.0,170.0,4x4,6.0,4.5,14490
Audi A3,Gri,2011,5.0,Benzina,Automata,Compact,1390.0,125.0,Fata,7.4,4.8,6999
Dacia Duster,Albastru,2019,5.0,Diesel,Manuala,SUV,1461.0,115.0,4x4,4.9,4.5,12390
Volkswagen Golf,Negru,2012,5.0,Diesel,Manuala,Sedan,1598.0,105.0,Fata,5.7,3.9,6200
Volkswagen Golf,Gri,2012,5.0,Benzina,Manuala,Compact,1197.0,105.0,Fata,6.5,4.5,5699
Mazda CX-5,Gri,2014,5.0,Diesel,Automata,SUV,2191.0,175.0,4x4,6.7,5.3,11000
Volkswagen Golf,Gri,2019,5.0,Diesel,Automata,Compact,1968.0,150.0,Fata,5.2,4.0,15489
Renault Laguna,Gri,2011,5.0,Diesel,Manuala,Sedan,1461.0,110.0,Fata,6.8,4.4,6289
Skoda Octavia,Albastru,2018,5.0,Diesel,Manuala,Compact,1598.0,115.0,Fata,4.5,3.7,13299
BMW X5,Negru,2015,5.0,Diesel,Automata,SUV,2993.0,258.0,4x4,7.1,5.7,24299
Renault Espace,Gri,2018,6.0,Diesel,Automata,Monovolum,1598.0,160.0,Fata,5.1,4.4,15988
BMW X3,Negru,2018,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.4,4.8,28980
Audi A3,Albastru,2020,5.0,Diesel,Automata,Compact,1968.0,149.0,Fata,5.2,4.0,17500
Audi A8,Negru,2017,5.0,Diesel,Automata,Sedan,2967.0,258.0,4x4,7.3,5.1,29500
Ford Focus,Argint,2019,5.0,Diesel,Automata,Sedan,1995.0,150.0,Fata,4.7,3.8,12998
BMW Seria 5,Negru,2019,5.0,Benzina,Automata,Sedan,1998.0,184.0,Spate,6.8,4.9,21999
Renault Trafic,Alb,2019,9.0,Diesel,Manuala,Monovolum,1598.0,125.0,Fata,6.4,5.6,24490
Renault Kadjar,Gri,2016,5.0,Diesel,Manuala,SUV,1461.0,110.0,Fata,4.1,3.6,11499
Dacia Sandero,Albastru,2009,5.0,Benzina,Manuala,Compact,1149.0,75.0,Fata,9.6,5.4,1999
BMW Seria 5,Gri,2011,5.0,Diesel,Automata,Sedan,2993.0,300.0,Spate,7.8,5.3,13489
Skoda Scala,Alb,2020,5.0,Benzina,Manuala,Compact,999.0,115.0,Fata,6.3,4.1,10990
Skoda Octavia,Alb,2020,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,5.0,3.7,13750
BMW Seria 7,Negru,2024,5.0,Diesel,Automata,Sedan,2993.0,300.0,4x4,6.5,4.5,149821
Toyota C-HR,Alb,2019,5.0,Hibrid,Automata,SUV,1798.0,98.0,Fata,4.8,4.4,21896
Mercedes-Benz GLA,Rosu,2022,5.0,Benzina,Automata,SUV,1991.0,224.0,4x4,9.0,5.7,38500
Peugeot 3008,Alb,2019,5.0,Benzina,Automata,SUV,1199.0,130.0,Fata,6.1,4.8,13250
Dacia Duster,Gri,2019,5.0,Benzina,Manuala,SUV,1332.0,130.0,Fata,6.9,4.9,11950
Dacia Duster,Rosu,2019,5.0,Diesel,Manuala,SUV,1461.0,116.0,Fata,4.7,3.9,13250
Lexus Seria RX,Gri,2016,5.0,Hibrid,Automata,SUV,3456.0,262.0,4x4,5.5,5.5,33320
Mercedes-Benz E,Negru,2020,5.0,Hibrid,Automata,Sedan,1950.0,194.0,Spate,5.7,4.1,36878
Ford Focus,Negru,2013,5.0,Diesel,Automata,Sedan,1997.0,140.0,Fata,6.8,4.4,6490
Volkswagen Polo,Alb,2019,5.0,Benzina,Manuala,Compact,999.0,65.0,Fata,5.9,4.1,7990
Skoda Fabia,Alb,2020,5.0,Benzina,Manuala,Sedan,999.0,95.0,Fata,5.7,3.8,9990
Skoda Octavia,Gri,2021,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,4.4,3.3,21500
Mazda 6,Negru,2005,5.0,Benzina,Manuala,Sedan,1789.0,120.0,Fata,11.7,6.3,2190
BMW X1,Maro,2012,5.0,Diesel,Manuala,SUV,1995.0,143.0,4x4,6.5,4.8,7800
Mini Countryman,Gri,2014,5.0,Diesel,Manuala,Compact,1995.0,143.0,4x4,5.2,4.3,8990
BMW Seria 4,Gri,2018,5.0,Diesel,Automata,Sport,1995.0,150.0,Spate,5.2,4.1,14600
Volkswagen Passat Alltrack,Negru,2020,5.0,Diesel,Automata,Sedan,1968.0,190.0,4x4,6.0,4.6,22189
Land Rover Range Rover,Albastru,2014,5.0,Diesel,Automata,SUV,2993.0,258.0,4x4,7.8,6.4,20944
BMW Seria 5,Negru,2018,5.0,Diesel,Automata,Sedan,2993.0,320.0,4x4,6.7,4.9,32500
Ford Focus,Negru,2020,5.0,Diesel,Automata,Sedan,1499.0,120.0,Fata,5.0,4.2,10989
BMW X5 M,Negru,2021,5.0,Benzina,Automata,SUV,4395.0,530.0,4x4,14.4,8.5,57990
Skoda Superb,Gri,2024,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,4.3,3.5,38999
Kia Sportage,Negru,2017,5.0,Diesel,Automata,SUV,1685.0,141.0,Fata,5.4,4.2,15300
Mercedes-Benz C,Negru,2018,5.0,Diesel,Automata,Sedan,1950.0,245.0,4x4,6.2,4.8,22899
BMW X5,Albastru,2021,5.0,Diesel,Automata,SUV,1995.0,231.0,4x4,6.0,5.3,43899
Audi A5,Gri,2019,5.0,Diesel,Automata,Sedan,2967.0,231.0,4x4,5.0,4.3,26990
Volkswagen Touareg,Alb,2021,5.0,Hibrid,Automata,SUV,2995.0,462.0,4x4,8.5,6.7,52499
Porsche Cayenne,Negru,2017,5.0,Diesel,Automata,SUV,2967.0,262.0,4x4,7.8,6.2,34990
Ford Transit Connect,Alb,2021,5.0,Diesel,Manuala,Monovolum,1498.0,100.0,Fata,4.7,3.6,16541
Renault Trafic,Alb,2015,3.0,Diesel,Manuala,Sedan,1598.0,90.0,Fata,7.9,6.0,9520
Land Rover Range Rover Evoque,Alb,2014,5.0,Diesel,Manuala,SUV,2179.0,150.0,Fata,6.7,5.2,12990
Opel Astra,Gri,2014,5.0,Diesel,Manuala,Sedan,1956.0,164.0,Fata,6.5,4.4,4999
Audi A6 Allroad,Negru,2017,5.0,Diesel,Automata,Sedan,2967.0,218.0,4x4,6.4,5.2,16490
Volvo S60,Gri,2016,5.0,Diesel,Automata,Sedan,1969.0,190.0,Fata,5.3,4.2,9990
Ford Edge,Alb,2019,5.0,Diesel,Automata,SUV,1997.0,210.0,4x4,6.4,5.4,22490
Skoda Kodiaq,Negru,2023,5.0,Diesel,Automata,SUV,1968.0,200.0,4x4,6.6,4.9,46000
Ford Fiesta,Alb,2013,5.0,Benzina,Manuala,Compact,998.0,101.0,Fata,5.9,3.7,3558
Skoda Octavia,Gri,2020,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,4.4,3.2,21450
BMW X5,Negru,2014,5.0,Diesel,Automata,SUV,2993.0,313.0,4x4,7.2,5.8,23000
Seat Leon,Alb,2020,5.0,Benzina,Manuala,Compact,999.0,116.0,Fata,6.5,4.4,9998
Audi A6,Negru,2020,5.0,Diesel,Automata,Sedan,2967.0,231.0,4x4,6.2,5.3,30226
Volkswagen Golf,Gri,2019,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,5.3,4.1,12990
Volkswagen Polo,Negru,2011,5.0,Diesel,Automata,Compact,1422.0,90.0,Fata,3.9,3.3,6900
Audi A6,Negru,2020,5.0,Diesel,Automata,Sedan,2967.0,231.0,4x4,6.2,5.3,30226
Renault Megane,Gri,2019,5.0,Diesel,Manuala,Sedan,1461.0,95.0,Fata,4.4,3.6,10490
Audi A4,Albastru,2019,5.0,Diesel,Automata,Sedan,1968.0,190.0,4x4,5.2,4.1,20990
Volkswagen Golf Plus,Albastru,2009,5.0,Benzina,Automata,Compact,1390.0,122.0,Fata,8.2,5.5,6290
BMW Seria 5,Gri,2015,5.0,Diesel,Automata,Sedan,2993.0,258.0,4x4,6.4,4.9,26168
Audi SQ5,Gri,2018,5.0,Benzina,Automata,SUV,2995.0,354.0,4x4,10.8,6.8,30900
BMW Seria 5,Albastru,2019,5.0,Hibrid,Automata,Sedan,1998.0,184.0,Spate,6.6,4.8,32963
Seat Leon,Gri,2020,5.0,Benzina,Manuala,Compact,999.0,116.0,Fata,6.5,4.4,10500
Nissan Qashqai,Alte culori,2013,5.0,Diesel,Manuala,SUV,1500.0,110.0,Fata,4.2,3.6,8500
Volkswagen Caravelle,Gri,2019,8.0,Diesel,Manuala,Monovolum,1968.0,150.0,Fata,8.5,6.0,33500
Audi A4,Gri,2010,5.0,Diesel,Manuala,Sedan,1968.0,143.0,Fata,7.5,4.3,6999
Mercedes-Benz C,Negru,2017,5.0,Diesel,Automata,Sedan,1598.0,116.0,Spate,4.7,3.5,18990
Skoda Octavia,Gri,2020,5.0,Diesel,Manuala,Sedan,1598.0,115.0,Fata,4.5,3.7,13989
Opel Insignia,Argint,2014,5.0,Diesel,Automata,Sedan,1956.0,163.0,4x4,8.6,5.1,7490
Mercedes-Benz A,Negru,2020,5.0,Diesel,Automata,Sedan,1461.0,116.0,Fata,4.2,3.6,19989
Volkswagen Tiguan,Rosu,2018,5.0,Diesel,Automata,SUV,1968.0,150.0,4x4,6.8,5.3,23199
BMW Seria 5,Gri,2010,5.0,Diesel,Manuala,Sedan,2993.0,245.0,Spate,8.1,5.3,9450
Renault Talisman,Gri,2017,5.0,Diesel,Automata,Sedan,1598.0,130.0,Fata,5.0,4.0,12990
Skoda Octavia,Albastru,2019,5.0,Benzina,Manuala,Sedan,999.0,115.0,Fata,5.9,4.2,11950
Renault Megane,Alb,2019,5.0,Diesel,Manuala,Sedan,1461.0,95.0,Fata,4.6,3.4,10989
Skoda Superb,Negru,2018,5.0,Diesel,Manuala,Sedan,1968.0,150.0,Fata,4.3,3.4,14490
Peugeot 508,Gri,2022,5.0,Benzina,Automata,Sedan,1199.0,130.0,Fata,5.2,4.1,17989
Volvo V60,Negru,2012,5.0,Diesel,Manuala,Sedan,2400.0,215.0,Fata,6.9,4.5,7200
Renault Megane,Albastru,2019,5.0,Benzina,Automata,Sedan,1332.0,140.0,Fata,6.5,4.5,13789
Skoda Octavia,Albastru,2021,5.0,Diesel,Automata,Sedan,1968.0,115.0,Fata,4.9,3.2,17590
Ford Focus,Albastru,2018,5.0,Benzina,Manuala,Sedan,999.0,100.0,Fata,5.9,4.2,8189
Mercedes-Benz CLS,Argint,2018,5.0,Diesel,Automata,Sport,1950.0,245.0,Spate,6.2,4.6,46200
Ford Mustang,Alte culori,2016,4.0,Benzina,Automata,Sport,2300.0,317.0,Spate,14.3,7.2,24990
Ford Focus,Alb,2020,5.0,Diesel,Manuala,Sedan,1499.0,120.0,Fata,4.1,3.5,11390
Mercedes-Benz GLE,Gri,2020,5.0,Diesel,Automata,SUV,1950.0,245.0,4x4,7.0,5.5,63903
BMW Seria 3,Gri,2020,5.0,Diesel,Automata,Sedan,1995.0,190.0,Spate,5.3,4.3,28999
Hyundai Santa Fe,Gri,2020,5.0,Diesel,Automata,SUV,2199.0,200.0,4x4,7.1,5.3,28690
Toyota Hilux,Rosu,2020,5.0,Diesel,Automata,SUV,2393.0,150.0,4x4,10.6,7.0,36255
Peugeot 2008,Alb,2020,5.0,Diesel,Manuala,SUV,1499.0,102.0,Fata,4.1,3.3,14990
Audi A6,Albastru,2016,5.0,Diesel,Automata,Sedan,2967.0,320.0,4x4,7.3,5.3,30999
Renault Megane,Maro,2020,5.0,Benzina,Manuala,Sedan,1332.0,116.0,Fata,7.0,4.4,9589
Seat Tarraco,Alte culori,2019,5.0,Diesel,Automata,SUV,1968.0,150.0,4x4,6.2,5.2,25189
Toyota RAV4,Maro,2012,5.0,Diesel,Manuala,SUV,2231.0,150.0,4x4,7.5,5.2,7000
Mercedes-Benz GLE Coupe,Gri,2021,5.0,Diesel,Automata,SUV,2925.0,272.0,4x4,8.5,5.9,69990
Hyundai i20,Alb,2020,5.0,Benzina,Manuala,Compact,1248.0,75.0,Fata,7.0,4.8,8490
Renault Kadjar,Albastru,2019,5.0,Diesel,Automata,SUV,1461.0,115.0,Fata,4.5,4.0,15490
Renault Megane,Albastru,2018,5.0,Diesel,Manuala,Sedan,1461.0,90.0,Fata,4.1,3.5,9990
Ford Focus,Gri,2019,5.0,Diesel,Manuala,Sedan,1499.0,120.0,Fata,4.3,3.3,10990
Volkswagen Passat,Gri,2019,5.0,Diesel,Automata,Sedan,1968.0,150.0,Fata,5.0,3.9,13790
Ford Kuga,Alb,2021,5.0,Diesel,Manuala,SUV,1997.0,150.0,Fata,5.4,4.3,17990
Nissan Qashqai,Albastru,2019,5.0,Benzina,Automata,SUV,1332.0,157.0,Fata,6.7,4.6,19650
BMW X3,Gri,2020,5.0,Diesel,Automata,SUV,1995.0,190.0,4x4,5.4,4.8,32990
Mercedes-Benz E,Argint,2020,5.0,Diesel,Automata,Sedan,1950.0,194.0,Spate,5.7,4.1,44506
Renault Megane,Gri,2020,5.0,Benzina,Automata,Sedan,1332.0,140.0,Fata,6.7,4.6,16989
BMW Seria 7,Albastru,2021,5.0,Diesel,Automata,Sedan,2993.0,286.0,4x4,6.3,4.3,57899
Ford Focus,Alb,2019,5.0,Diesel,Manuala,Sedan,1499.0,120.0,Fata,4.4,3.3,10990
Lexus Seria NX,Albastru,2019,5.0,Hibrid,Automata,SUV,2494.0,190.0,4x4,5.1,5.0,25990
Kia Sportage,Negru,2021,5.0,Diesel,Automata,SUV,1598.0,136.0,4x4,4.7,4.7,23389
Audi A4,Negru,2020,5.0,Diesel,Automata,Sedan,1968.0,136.0,Fata,5.0,3.6,22943
BMW Seria 5,Gri,2023,5.0,Diesel,Automata,Sedan,1995.0,190.0,4x4,5.3,4.2,45577
Volkswagen Golf,Gri,2019,5.0,Diesel,Automata,Sedan,1598.0,115.0,Fata,4.1,3.8,13689
Ford Focus,Alb,2017,5.0,Benzina,Automata,Sedan,1596.0,125.0,Fata,8.7,4.9,9997
Peugeot 3008,Negru,2022,5.0,Benzina,Automata,SUV,1199.0,130.0,Fata,4.7,4.8,20989
Mazda CX-5,Gri,2015,5.0,Diesel,Manuala,SUV,2191.0,150.0,Fata,5.4,4.1,10499
Audi Q7,Negru,2022,5.0,Benzina,Automata,SUV,2995.0,340.0,4x4,10.9,7.4,58600
Dacia Logan,Alb,2020,5.0,Benzina,Automata,Sedan,898.0,90.0,Fata,5.7,4.6,10289
Audi Q5,Negru,2020,5.0,Hibrid,Automata,SUV,1984.0,252.0,4x4,5.4,4.8,23498
Volvo S90,Negru,2019,5.0,Diesel,Automata,Sedan,1969.0,235.0,4x4,6.4,4.9,26900
Opel Insignia,Gri,2018,5.0,Benzina,Automata,Sedan,1490.0,165.0,Fata,6.9,4.6,13449
Volkswagen Tiguan,Gri,2019,5.0,Diesel,Automata,SUV,1968.0,150.0,Fata,5.7,4.5,23990
Hyundai Santa Fe,Alb,2019,5.0,Diesel,Automata,SUV,2199.0,200.0,4x4,7.1,5.3,29393
Audi Q5,Alte culori,2018,5.0,Diesel,Automata,SUV,1968.0,163.0,4x4,5.3,4.7,30490
Skoda Octavia,Maro,2020,5.0,Diesel,Manuala,Sedan,1968.0,115.0,Fata,4.5,3.7,17489
Ford EcoSport,Albastru,2020,5.0,Diesel,Manuala,SUV,1499.0,125.0,Fata,4.7,4.2,11589
Renault Espace,Gri,2016,6.0,Diesel,Automata,Monovolum,1598.0,160.0,Fata,5.1,4.4,14450
Volkswagen Tiguan,Alte culori,2024,5.0,Diesel,Automata,SUV,1968.0,193.0,4x4,6.3,4.7,43900
Ford Edge,Negru,2018,5.0,Diesel,Automata,SUV,1997.0,210.0,4x4,6.5,5.5,20500
Hyundai Tucson,Albastru,2021,5.0,Hibrid,Automata,SUV,1598.0,180.0,4x4,6.6,4.7,34489
Ford EcoSport,Gri,2022,5.0,Benzina,Manuala,SUV,999.0,125.0,Fata,6.2,4.6,13689
Mercedes-Benz GLS,Gri,2021,7.0,Diesel,Automata,SUV,2925.0,330.0,4x4,9.4,6.3,89238
Audi A4,Gri,2008,5.0,Diesel,Manuala,Sedan,1984.0,140.0,Fata,7.8,4.5,5300
Renault Clio,Alb,2019,5.0,Diesel,Manuala,Compact,1461.0,90.0,Fata,4.3,3.6,9490
Hyundai Tucson,Gri,2021,5.0,Hibrid,Automata,SUV,1598.0,230.0,Fata,5.0,5.3,30990
Dacia Duster,Albastru,2011,5.0,Benzina,Manuala,SUV,1598.0,105.0,4x4,10.4,7.0,6999
Toyota Corolla,Negru,2020,5.0,Hibrid,Automata,Compact,1798.0,98.0,Fata,3.1,3.5,15950
Kia Sportage,Albastru,2020,5.0,Diesel,Automata,SUV,1598.0,136.0,Fata,4.8,4.5,18990
Audi A3,Alb,2020,5.0,Benzina,Automata,Compact,1498.0,150.0,Fata,4.3,4.1,15498
Renault Kadjar,Negru,2021,5.0,Benzina,Manuala,SUV,1332.0,140.0,Fata,7.5,5.0,16990
Volkswagen up!,Alb,2019,4.0,Benzina,Manuala,Compact,999.0,60.0,Fata,4.9,3.7,6300
Kia Sorento,Negru,2010,5.0,Diesel,Manuala,SUV,2199.0,197.0,4x4,8.6,5.3,7990
Nissan Qashqai,Gri,2018,5.0,Diesel,Automata,SUV,1598.0,130.0,Fata,5.3,4.4,16500
